Id,SalePrice
1461,123840.62
1462,195934.89
1463,189745.9
1464,195109.1
1465,178819.12
1466,168107.92
1467,171298.3
1468,159644.5
1469,185100.67
1470,119269.055
1471,175932.45
1472,99650.5
1473,96208.39
1474,143954.0
1475,108411.94
1476,349311.22
1477,228363.89
1478,274328.22
1479,279815.88
1480,490929.7
1481,324923.44
1482,200734.66
1483,167997.45
1484,158685.28
1485,172557.02
1486,187216.12
1487,400959.22
1488,200526.45
1489,201357.4
1490,232840.02
1491,187765.1
1492,95453.63
1493,190679.03
1494,233050.03
1495,269559.97
1496,232246.7
1497,166615.89
1498,166891.98
1499,160667.83
1500,162273.62
1501,167976.92
1502,149922.45
1503,312283.06
1504,236847.12
1505,221305.25
1506,165905.73
1507,261611.19
1508,178217.34
1509,161050.52
1510,146499.19
1511,143118.14
1512,141814.16
1513,141431.6
1514,134358.8
1515,173225.36
1516,161035.31
1517,175595.55
1518,106612.516
1519,219618.7
1520,133710.19
1521,134180.23
1522,151629.83
1523,105953.07
1524,120198.34
1525,122364.68
1526,116104.42
1527,112825.87
1528,138572.72
1529,145299.42
1530,162045.95
1531,126205.8
1532,109986.945
1533,170512.61
1534,116904.484
1535,152718.19
1536,109698.79
1537,62552.027
1538,145280.42
1539,182621.78
1540,91751.35
1541,127387.52
1542,137779.11
1543,178656.38
1544,83491.11
1545,112068.58
1546,119170.125
1547,140164.95
1548,127755.375
1549,115138.86
1550,123066.55
1551,120959.27
1552,132472.56
1553,151082.16
1554,113991.86
1555,170334.17
1556,96178.79
1557,114778.984
1558,96688.78
1559,93198.625
1560,142874.55
1561,94194.766
1562,118936.625
1563,120490.61
1564,150111.1
1565,150982.45
1566,209403.86
1567,80328.68
1568,239231.53
1569,135646.45
1570,126580.43
1571,115337.086
1572,146345.48
1573,211150.42
1574,109185.234
1575,217581.48
1576,249368.56
1577,166690.27
1578,153296.77
1579,149888.62
1580,191107.17
1581,162824.5
1582,116696.62
1583,319597.75
1584,211013.08
1585,136467.94
1586,79635.46
1587,94123.92
1588,147064.14
1589,93958.74
1590,132684.45
1591,91094.12
1592,139997.11
1593,120843.414
1594,157314.48
1595,132237.2
1596,201250.66
1597,180647.8
1598,193320.16
1599,155974.11
1600,150020.55
1601,54840.953
1602,108685.96
1603,83365.83
1604,237084.34
1605,241200.97
1606,158657.11
1607,152164.44
1608,191061.22
1609,167253.78
1610,150577.92
1611,134456.73
1612,150893.19
1613,148040.78
1614,132675.83
1615,84580.69
1616,67067.56
1617,87975.49
1618,117538.125
1619,140982.8
1620,164774.33
1621,133199.5
1622,135387.9
1623,257125.95
1624,211222.92
1625,122105.89
1626,147557.97
1627,180678.72
1628,288620.1
1629,175716.05
1630,388039.38
1631,204876.17
1632,251677.83
1633,166879.39
1634,193011.28
1635,168930.05
1636,148224.47
1637,196843.12
